"MEdarkred"	"MEgreen"	"MEpink"	"MEtan"	"MEviolet"	"MEsteelblue"	"MEsaddlebrown"	"MEyellow"	"MEdarkturquoise"	"MEmidnightblue"	"MEturquoise"	"MEdarkolivegreen"	"MEpaleturquoise"	"MEgrey60"	"MElightyellow"	"MEskyblue"	"MEwhite"	"MEdarkgrey"	"MEsalmon"	"MEblack"	"MEgreenyellow"	"MElightgreen"	"MEdarkorange"	"MEblue"	"MEroyalblue"	"MElightcyan"	"MEmagenta"	"MEcyan"	"MEbrown"	"MEdarkgreen"	"MEpurple"	"MEorange"	"MEred"	"MEgrey"
"CC1368.202.Post"	0.0938195100972259	0.070159666866256	0.19783601815076	0.202860248940317	0.12377959233278	0.266464073819814	0.251636320234901	0.273771106217229	0.214511008835718	0.20075738393525	0.257311964206328	-0.0291715837565727	0.0112277059386082	0.0874753273462316	-0.128366417354827	-0.242605536865768	-0.141841081484045	-0.0914263890459353	-0.11406529229302	-0.0356620876186008	0.087720870363461	0.0293322473541364	-0.273744789273421	-0.189179051005141	-0.1805453374681	-0.141227358649538	-0.118618146228235	-0.264896704918469	-0.289767425134409	-0.331675277661476	-0.276429103503569	-0.295445152228713	-0.259272803725471	0.0940693595227609
"CC1409.203.Post"	0.0371458599219747	-0.0484633273527785	0.146273246870785	0.0707646542556045	0.0888870667269597	0.236919207118401	0.224294670696657	0.241925124282629	0.228171929791885	0.197959738228818	0.212214035704975	0.0565537139699123	0.134148008415465	0.210174465314244	-0.0074086420777354	0.0334474805118783	0.0660398504167544	-0.0419430237737695	-0.0848334971568417	-0.0597269695934834	0.032274875855178	-0.0496951601095984	-0.161081380293138	-0.208369401551643	-0.15606214006179	-0.176566152657044	-0.145352200914353	-0.268555588934324	-0.19586008460078	-0.193501480272452	-0.169116058529858	-0.16834530506529	-0.060739221086479	-0.114692724676653
"CC1420.204.Post"	0.234287160999554	0.090925488474058	0.0776400321694033	0.0301160622715317	0.316440879992031	0.152885742807265	-0.00548899652460796	0.0257317347915582	-0.136629036492219	-0.0992824332647187	-0.0226721752225471	0.0185694791132514	0.0460926703465827	-0.211084731922783	-0.25628029777181	-0.152175064428142	-0.242175551903175	-0.231127199802443	-0.165958135050951	-0.0700006735527496	-0.0717654093764583	0.0141269446888763	0.135008044573748	0.192811068451603	0.252439846666422	0.285094627442587	0.263501359051642	0.0478131427908513	-0.0342146461966742	-0.0823127727131073	-0.146084863327692	0.0074327704547704	-0.0771334450541858	0.215800504373505
"CC1566.203.Post"	0.0857725505857198	0.0206234932432485	0.0901928349859286	0.130148148944954	0.00563449241921651	0.0348415826702603	0.00273565419641997	0.048377102018494	-0.110702745499736	-0.0224917688842394	-0.0317302948127667	0.0237475826469053	-0.0407790735348952	-0.0351963634457977	-0.0988816114293678	-0.194259988363347	0.0685449669560863	-0.179363294237415	-0.205051065728497	-0.128166328885458	-0.177312369848866	-0.193980100135212	0.0869260636949715	0.0382917812795311	0.092258973795237	0.0809875558080086	0.0831082332698017	-0.103708138813997	-0.0354636692645465	-0.0686834576420686	-0.0398816589096642	0.0652961833409892	0.0371445781151246	-0.0304462650594167
"CC1628.201.Post"	0.226443154122181	0.0535058723182872	0.187784379391186	0.140139613927408	0.0388533009922925	0.099548095203599	-0.0741404760062042	0.0956211816991529	-0.228079646449926	-0.0317351219559081	-0.0377474352485137	0.101283061837451	-0.156106899574405	-0.13146721142708	-0.227873887718815	0.138710165213116	0.0970402484310245	-0.435290930774711	-0.414873752517352	-0.477977043097036	-0.44873628142474	0.00882704824596171	0.151988090397047	0.0141285331718178	0.0968965914572165	0.166941614678762	0.218706444926289	0.0690189129120035	-0.114469739487594	-0.112631009993614	-0.148353542383235	0.064713687216895	0.053227142151694	-0.0313278261980944
"CC1680.202.Post"	0.140108705387483	-0.0494561900352272	0.249640382696052	0.16179086262159	0.298171524470129	0.39733410297756	0.334672187294184	0.387646757822955	0.27917493065541	0.353602241155321	0.397492485496499	0.115437593349881	0.190652515240826	0.296711721319086	-0.0118088430000385	-0.0243910933888624	0.0271106223765085	-0.186334021388575	-0.254847225283242	-0.253410756767832	-0.0432188535942171	0.0709202114189523	-0.376311397075375	-0.394422023168202	-0.344089329726781	-0.287068655247891	-0.198641798137854	-0.196071541109419	-0.403520943518277	-0.331754985508503	-0.307175262414485	-0.32429407685617	-0.112958924169164	0.0895560689769764
"CC1327.202.D1"	0.0399889400059594	0.119432801260461	-0.052415284099021	-0.184121763159006	0.0226894963909617	-0.0353722794845293	-0.0434107458279224	-0.0897067518774303	-0.0670950487702589	-0.06878943474397	-0.0664428106961407	-0.116090877035741	-0.000902251735598418	-0.128542992407853	-0.0588757778154246	0.11796963660906	0.130887446761292	0.0466143027415737	0.0955300791034055	0.161259175118906	0.117675098970149	-0.0668548468422208	-0.00676105594756356	0.0679595003707278	0.0461437887411583	0.0342334148349474	0.0679732868560872	0.281052445313497	0.0738128514049122	0.0834868201881551	0.00397215620864114	-0.0220392355163773	-0.0539740720861814	-0.00394009358856604
"CC1329.202.D1"	-0.138200636278294	-0.184322000689544	-0.202793920053345	-0.166754054595388	0.104475897821545	0.0327950228888768	-0.0611516108829444	-0.0229863611278933	0.0210547289647065	0.13213545969704	0.0988552634757264	0.129047891204864	0.241152678719099	0.122028809557034	0.164926088823348	0.106604338242546	-0.231486533590774	0.102753341006471	0.0974987101709278	0.0224776099111603	0.0377259539149037	0.150980314883625	-0.0505313220757139	0.0516003196864444	-0.00133686370897261	-0.0729086166071644	-0.117891025515991	-0.0706696744032271	0.108879391437295	0.059572722273368	0.0869097668483154	0.0284470430059978	0.0120293406527599	0.236356422408548
"CC1360.201.D1"	-0.000248667719007382	-0.0564345358005434	-0.0965700970587515	-0.238584282557432	0.160885739207162	0.0913886878345626	0.0142713506123245	0.0176225032500703	0.0220790528737945	0.113614741203801	0.124763118855953	0.138984040443409	0.201311781658106	0.0938225482879081	0.106108981797621	0.142014686409651	0.0751177357124821	0.0285457279819485	0.0473516483491985	0.0178940954876656	0.0363488681002719	-0.0461813050633203	-0.0861788142490389	0.0283493415803235	0.00678469173622301	-0.0690876498251614	-0.0365847241871324	0.0453696526154462	0.0399284798794133	0.0297933544334038	0.0344449559062335	-0.0343054541135422	-0.0114664295247744	0.124630181845223
"CC1368.202.D1"	-0.0622171544649178	-0.0686468400978336	-0.118870251526674	-0.104905963401651	0.155849108506787	0.0953501527669382	0.0051758207441834	0.0280547254130462	0.0404569339411028	0.158864040568551	0.149134802707027	0.111386586221865	0.207585848258467	0.111054033834902	0.108226674662918	-0.178990749989857	-0.219277141833188	0.0674852949892861	0.0600610615907395	0.0487051847689537	0.0748616819366958	-0.0339565664147723	-0.101214665681896	0.0454827000335504	0.00600920298265132	-0.0356172127679919	-0.0897414444646197	-0.0730708173108371	0.0252920645863791	-0.0292093128988207	0.0217634907278805	-0.0476117647868416	-0.0795357602581682	0.252790446665144
"CC1409.203.D1"	0.119211742281836	0.141583943764241	0.0604779720524592	0.0133088612000516	0.00866434611180297	-0.059011841601533	-0.023812830014889	-0.106603097061139	-0.0869946913277372	-0.219593805299328	-0.155557807530008	-0.102938169758112	-0.094481303000276	-0.190099123697997	-0.104106461925572	0.118399992238802	0.079613198617575	0.0128056172560745	0.0537499881358149	0.101857129166562	0.0559288291177982	0.277831171851064	0.119141918675124	0.120061207144621	0.110832313634696	0.135682758883492	0.159161610539359	-0.0968661303413991	0.0619084341471086	0.0154282479266475	0.0117567977492154	0.025965070249233	-0.0139660381143343	-0.128248130597018
"CC1420.204.D1"	0.039463129367467	0.0472201999195635	-0.155879493113755	-0.241179218865517	0.019626653153526	-0.206691044277744	-0.243920578906175	-0.298877393029102	-0.246974661660892	-0.315410902359333	-0.278820168061097	-0.0334316120706143	-0.0636396638033942	-0.20815079204097	0.0145257780868382	-0.107261915337825	-0.299920965378408	0.0770298659870711	0.129601132332153	0.124616707811513	0.025629594613623	0.114561790727213	0.219102047719166	0.284455679084944	0.249150923215214	0.262074830006502	0.200664139113032	0.127691562706331	0.223243212253398	0.155973598877044	0.150548752840847	0.183487507566244	0.0586569062917371	0.177040533360739
"CC1566.203.D1"	0.129374624464455	0.0886293917417565	-0.0881514612729929	-0.155790601967465	0.147150639675449	-0.062310004596374	-0.136689880451407	-0.186630979368769	-0.190977481374245	-0.159397963206133	-0.143962531526843	-0.0108552368431323	-0.0696626452267899	-0.143002039625698	0.0112669182528596	-0.162879658545944	0.0795958412062362	0.0449386044470904	0.0862669297859036	0.108726403167872	0.0233757009847641	-0.161859098321891	0.171568910532848	0.234292389799511	0.279867601655347	0.216638225893241	0.211837528525841	-0.0524082400029258	0.162158862579598	0.0910116915336319	0.116606868785053	0.132577542339217	0.00968722342288868	0.0765027653085902
"CC1628.201.D1"	0.0613108158100053	0.0124776642931816	0.014356166336993	-0.0187455771104925	-0.0097380532586768	-0.00507455562535869	-0.0984015052422757	-0.037884256738184	-0.165735016739814	-0.0328447062617205	-0.0532848224520718	0.142526838432005	-0.0896476815398357	-0.0297526628464495	-0.0239348258046777	0.146787153794376	0.0868090652125838	-0.151777251106413	-0.164175132197554	-0.247721288405737	-0.245837368745988	0.201774602756022	0.153687325453979	0.0513466086888094	0.055561980674674	0.103045419823307	0.106131305701101	0.00976507665569949	0.0198309661769774	0.0168589590005977	0.0310068265464533	0.144255926509412	0.15080469125312	-0.00855031493398145
