"PrePost"	"PreDay1"	"PreWk1"	"PreWk2"	"PreWk4"	"Ho 2R6R"	"Ho 2S6S"	"Ho E2"	"Ho E2&2R6R"	"Ho E2&2S6S"	"Ho E2&Ket"	"Ho Ket"
"ENSG00000154803.13"	0.514146798875911	0.0669497353429822	0.0613398895863178	0.0990130665595066	0.0444391816327201	0.330892512466324	0.444997135287609	0.512548017053198	0.448632744088359	0.218735403226074	0.820130748461318	0.365702707501406
"ENSG00000136280.16"	0.311361881425166	0.205943285005165	0.118429757759159	0.221858526975736	0.173060185127331	0.548797854766875	0.675999180151033	0.533530907762908	0.579722316854081	0.366708679524403	0.572771682957385	0.0709188943361623
"ENSG00000090316.16"	0.442097447901148	0.10132404890292	0.0575010632435795	0.198125654806028	0.0555110774990659	0.298722171328403	0.0397374685673553	0.239000184977443	0.00603645805884678	-0.159804005153839	0.348437610544404	0.053258666609139
"ENSG00000134308.14"	-0.377774773942909	-0.284962194515512	-0.0944746736218622	-0.26116419882678	-0.213065497606365	-0.57243114961158	-0.792880473700265	-0.487531484617669	-0.823349429018446	-0.620653728588858	-0.877089113710124	-0.525382435875191
"ENSG00000168010.11"	0.753165764831014	0.302618505115323	0.106525637353128	0.376445329242953	0.126562831229716	0.195900886836238	0.756094451417539	0.27426600062411	0.948975115198658	1.01310592597859	0.290623818955403	0.58900594223058
"ENSG00000152332.16"	-0.429992207655494	-0.377811311566077	-0.273906418616821	-0.434013101361354	-0.386136424049069	-0.73810676908803	-0.786752999430776	-0.468882064079079	-0.762412802773643	-0.443614970144373	-0.951633822155475	-0.384397659073455
"ENSG00000064687.12"	0.703649959064236	0.461633778107686	0.126507889538795	0.445594300702859	0.206683220184249	0.694191372716565	0.843168460868147	0.567525160535138	0.9568084322509	0.59275245142339	0.796535115485319	0.848070835804085
"ENSG00000163655.16"	-0.339141850950971	-0.0903617510536838	-0.0398186302511787	-0.154093515877266	-0.0933831151504627	-0.591340929969943	-0.504958393325368	-0.497055341794183	-0.52571110407579	-0.252128636307135	-0.847783904778376	-0.334769954181742
"ENSG00000120802.13"	-0.372406310018974	-0.147061976179558	-0.126805498723685	-0.202544090638131	-0.145761105505129	-0.173866250215299	-0.256262426988275	-0.155274667863178	-0.253533791669346	-0.0310974856827499	-0.387183072001916	-0.068675680836213
"ENSG00000166888.12"	0.475851827883057	0.0161878847865271	0.0777322913194816	0.157136583650203	0.00338481631080789	0.536564555832434	0.424388894274028	0.596504059278163	0.269243963137024	0.0831384301318208	0.788744622120884	0.470686282138153
"ENSG00000136279.20"	0.420721124985331	0.161527473912949	0.0838825821304017	0.21483247479744	0.128262182851604	0.414892858839381	0.0774383985553726	0.312401115513558	-0.0367010525975635	-0.278502710802519	0.54235932957838	0.0366702008476665
"ENSG00000214176.9"	0.483510774739524	0.214990140654713	0.00475447390050654	0.218550268904246	0.117000743337229	0.402307767914016	0.564615036223174	0.497978069887484	0.533039920765599	0.47765437138788	0.755198731872133	0.519051106933586
"ENSG00000113658.18"	-0.429178611427743	-0.221429201325503	-0.210151124675664	-0.400601160707443	-0.19379412006924	-0.766641029002865	-0.634357268560001	-0.624834774861529	-0.753347085457622	-0.398071577380492	-0.966829592799269	-0.39688190534455
"ENSG00000154889.16"	0.499199797527031	0.24635751511365	0.184257963279181	0.207822350474347	0.197417879648892	0.278420915042618	1.01848549805001	0.478277668228829	0.940951100402345	0.622156031427905	0.876100420838735	0.927040930816687
"ENSG00000102886.15"	0.693986254300221	0.490805392722497	0.132072190824298	0.331267381133169	0.26057255269634	1.2514117619527	1.66235464303713	0.865225512911676	1.88037783073807	1.83008284867482	1.00780907886536	1.26115651395683
"ENSG00000131626.18"	0.355547073403248	0.0322417700813933	0.0087591275019534	0.0836323328867037	0.00785018740318222	-0.288005600757085	-0.221404303923368	-0.109215637545269	-0.14040010684545	-0.137373584752651	-0.367861314441327	-0.0726518805999108
"ENSG00000139908.14"	0.827421232972809	0.392592546830822	0.0998829960195735	0.452699688212048	0.503662161526224	0.0945880787996201	0.0435552318577037	0.0520057130947742	0.0746597814819716	0.0808446359794164	-0.169308554961894	0.211981790468864
