"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000135535.17"	-0.418125316226939	7.65053222073098	-4.71108179932908	2.23536815912672e-05	0.00663596016617999	2.62134405865689
"ENSG00000262332.1"	2.13037086215743	0.197906246732437	4.6871789965549	2.42007871058687e-05	0.006989906479615	2.54917079282191
"ENSG00000186529.16"	0.941918293174293	7.60390125014878	4.67627365955048	2.5092502779068e-05	0.006989906479615	2.51628089527243
"ENSG00000120913.23"	0.474645401348387	6.22177511253699	4.66663620334831	2.59073288987592e-05	0.006989906479615	2.48723501653979
"ENSG00000101557.15"	-0.408411337145253	5.37567775551817	-4.66503707235988	2.6045020372401e-05	0.006989906479615	2.48241731089225
"ENSG00000109118.14"	0.390643351866372	7.50232652985191	4.66092995265073	2.64019581590045e-05	0.006989906479615	2.47004619203823
"ENSG00000146826.17"	0.582291876734169	5.72476831617736	4.6596825213392	2.65113158314447e-05	0.006989906479615	2.46628947306467
"ENSG00000185950.9"	0.948916923816422	5.97614515733004	4.65875628563737	2.65928028419596e-05	0.006989906479615	2.46350026293892
"ENSG00000135074.15"	0.613009883762799	8.17459501676154	4.65280405797066	2.7122353437421e-05	0.006989906479615	2.44558031917995
"ENSG00000156711.17"	0.51641809311155	6.34800320652574	4.6439561514049	2.79286920391882e-05	0.006989906479615	2.4189561623977
"ENSG00000018510.15"	-0.431044683481726	5.41095797058675	-4.64293481265598	2.80232703141846e-05	0.006989906479615	2.41588391220591
"ENSG00000114770.17"	0.590953069806478	6.23906822199614	4.64095407521426	2.82075872836776e-05	0.006989906479615	2.40992635335437
"ENSG00000081019.13"	-0.336092414165511	6.09865390821042	-4.6387130989504	2.8417554511154e-05	0.006989906479615	2.40318705272094
"ENSG00000082213.18"	-0.374894299013067	4.65877900415932	-4.63376223045567	2.88868725346364e-05	0.00700527001832915	2.38830201632803
"ENSG00000004766.17"	-0.478584501719098	5.331909854143	-4.62362204900956	2.98719621724537e-05	0.00714354784285149	2.35783118806448
"ENSG00000100307.13"	0.348687389316635	6.76042788514717	4.61506357660323	3.07289656168868e-05	0.00724782643824051	2.33213031284022
"ENSG00000102057.10"	0.966006074297819	1.32393618449481	4.59932279381151	3.23685508684244e-05	0.0074057553329192	2.28490209310047
"ENSG00000070731.10"	0.939602941606223	4.01784696863545	4.59032122656522	3.33443901837567e-05	0.0074057553329192	2.25791808348442
"ENSG00000064547.14"	0.735555457371464	5.7683653973193	4.58846866868852	3.35487699597471e-05	0.0074057553329192	2.25236685442919
"ENSG00000120318.16"	0.795867453796887	6.34764342093389	4.58318347630057	3.41386187924745e-05	0.0074057553329192	2.23653378119645
"ENSG00000101181.17"	0.41109657134606	5.37252757502853	4.57909130601303	3.46022902352836e-05	0.0074057553329192	2.22427889539816
"ENSG00000180776.15"	-0.445777754777001	6.22674598381824	-4.57573880350224	3.49867455017983e-05	0.0074057553329192	2.21424184525034
"ENSG00000104859.15"	0.372873058492222	5.60525082686995	4.57013814798951	3.56383680507384e-05	0.0074057553329192	2.19747957988267
"ENSG00000134815.19"	0.635928801752172	6.43637774971661	4.56823810160616	3.5862123233677e-05	0.0074057553329192	2.19179448420562
"ENSG00000187954.12"	0.422332298487383	6.06188410890651	4.55639978161141	3.72875602941477e-05	0.0074057553329192	2.15639131092276
"ENSG00000122547.11"	0.812436782504931	5.48288568199728	4.55509972282542	3.74474402851587e-05	0.0074057553329192	2.15250531435262
"ENSG00000059145.18"	0.494989376969691	6.02065460487992	4.55298211365849	3.7709300432919e-05	0.0074057553329192	2.14617639335631
"ENSG00000127663.15"	0.557168995455777	8.05890642844193	4.54580835688396	3.86097926151572e-05	0.0074057553329192	2.12474358692505
"ENSG00000203709.11"	0.438108233496978	8.10282027115274	4.54453998389264	3.87711823275725e-05	0.0074057553329192	2.12095531327359
"ENSG00000162341.17"	0.520287874588844	5.71283651549151	4.54453024959684	3.87724234849957e-05	0.0074057553329192	2.12092624107002
"ENSG00000140995.16"	0.635109212244915	6.85055270733246	4.54290447625315	3.89802621894441e-05	0.0074057553329192	2.11607104708517
"ENSG00000262370.5"	0.748599521898594	3.95135386861186	4.53887295242944	3.95003699648364e-05	0.0074057553329192	2.10403391877964
"ENSG00000230454.1"	0.62572716717143	2.81837124666052	4.53106683626509	4.05268257787945e-05	0.0074057553329192	2.08073726716534
"ENSG00000085491.17"	-0.453298721612067	4.89347009409429	-4.52718377234124	4.10471050643674e-05	0.0074057553329192	2.0691537757317
"ENSG00000181220.17"	0.563868748690162	6.98677737888487	4.52591363951644	4.12187009938162e-05	0.0074057553329192	2.06536561452353
"ENSG00000101493.11"	0.611333216508203	7.55386161192263	4.52580613321505	4.12332573707473e-05	0.0074057553329192	2.06504499474559
"ENSG00000143493.13"	-0.390629871032774	4.5985911509197	-4.52335022410181	4.15671618906625e-05	0.0074057553329192	2.05772137175741
"ENSG00000283597.2"	1.17468972072372	1.17535453265035	4.52287156115126	4.163254825173e-05	0.0074057553329192	2.05629413974506
"ENSG00000035664.11"	0.855673812294237	6.39190125739293	4.52192752453736	4.17618008551182e-05	0.0074057553329192	2.05347945434804
"ENSG00000177169.10"	0.757885750641635	6.31198766404349	4.52098087101543	4.18918061515331e-05	0.0074057553329192	2.05065717171978
"ENSG00000267121.5"	0.490979568698449	5.6818409042563	4.51732147458013	4.23980920982693e-05	0.0074057553329192	2.03974925347244
"ENSG00000231113.2"	0.466297840460004	4.34651305560322	4.51079399734165	4.33160934171298e-05	0.0074057553329192	2.0202998227425
"ENSG00000105443.15"	0.379146375284402	5.58523009464673	4.51001955118449	4.34262913180386e-05	0.0074057553329192	2.01799291675393
"ENSG00000174032.17"	-0.349360879590716	4.66108905067417	-4.50960572456674	4.3485288177041e-05	0.0074057553329192	2.01676027449096
"ENSG00000105352.10"	0.868677604104755	5.76404349272282	4.50690713201295	4.38719388986966e-05	0.0074057553329192	2.00872309958778
"ENSG00000187531.14"	0.417349445384741	5.61400998814985	4.49558564034795	4.55310564473182e-05	0.00755541891448357	1.97502292037859
"ENSG00000175806.15"	0.381456730612092	4.70372433268119	4.49488203139764	4.56361695380585e-05	0.00755541891448357	1.97292950535125
"ENSG00000131480.9"	0.804944289631248	4.26771259955491	4.4889893425381	4.65258567770388e-05	0.00762935430463861	1.95540181296763
"ENSG00000105656.13"	0.626513072812171	6.33381870580476	4.48225276652224	4.75637519322473e-05	0.0076868301810921	1.93537398761756
"ENSG00000131979.19"	-0.535258124699682	5.16831355230183	-4.48093607084614	4.77692431976335e-05	0.0076868301810921	1.9314607040832
"ENSG00000170540.15"	-0.367249158467861	5.88143079886328	-4.47308109828636	4.90133007669764e-05	0.0078139908574611	1.90812386755048
"ENSG00000133874.2"	0.463260712328089	4.54227811664902	4.46375017149887	5.0532334452643e-05	0.00798225444592301	1.88042108221829
"ENSG00000106723.17"	-0.385132419485829	5.12395986599451	-4.45162246554023	5.25756263444697e-05	0.00820512007789328	1.84444602572274
"ENSG00000123329.18"	0.613139022072875	8.03084387386233	4.44100086696198	5.4431353447022e-05	0.00820512007789328	1.81296775568541
