"PrePost"	"PreDay1"	"PreWk1"	"PreWk2"	"PreWk4"	"Cathomas"
"ENSG00000237441.10"	0.625350406342721	0.203887622824799	0.091925403104141	0.283142527688356	0.149632228594673	0.337025006534529
"ENSG00000205517.12"	1.75205015179603	1.0004988684822	1.02836099355996	0.959816475323634	0.677192054856731	0.539906367370581
"ENSG00000226450.2"	0.872177713035307	0.797887720670494	0.0875713399253712	0.519529735833159	0.260136452896993	0.160435222256319
"ENSG00000110958.16"	-0.386055132928926	-0.383054063125593	-0.162955358794415	-0.368968049687955	-0.238050961687265	-0.116143204782765
"ENSG00000168071.22"	0.688274899064522	0.296355388555532	0.208836747734121	0.373252281106899	0.217609042662779	0.244782666193275
"ENSG00000248712.7"	1.09475418857555	0.387224396939079	0.404950987453316	0.481893175905962	0.597878836074143	0.379007559883707
"ENSG00000142552.8"	0.860395593177433	0.359464471756059	0.150313669386055	0.316994394219419	0.188955066008235	0.404572605666295
"ENSG00000180917.17"	-0.558689951263752	-0.0946223040791798	-0.205735973728259	-0.281574874813055	-0.0368844172881513	-0.180603523039411
"ENSG00000166987.15"	0.629787304672783	0.127366514190181	0.140262452201903	0.268487281957565	0.0451139943006984	0.21070116560111
"ENSG00000164040.16"	-0.411124659393761	-0.227434299846077	-0.187697858697596	-0.299904784439984	-0.197808719089968	-0.0595703076790963
"ENSG00000153113.23"	-0.316453157260677	-0.333997814865096	-0.151866006947822	-0.280310062402981	-0.293048618796268	-0.06992269924495
"ENSG00000154803.13"	0.514146798875911	0.0669497353429822	0.0613398895863178	0.0990130665595066	0.0444391816327201	-0.102966527056138
"ENSG00000136280.16"	0.311361881425166	0.205943285005165	0.118429757759159	0.221858526975736	0.173060185127331	0.140343863870209
"ENSG00000090316.16"	0.442097447901148	0.10132404890292	0.0575010632435795	0.198125654806028	0.0555110774990659	0.0394477605844408
"ENSG00000182487.12"	0.78952328153114	0.19765834377332	0.31680349373866	0.381829477050346	0.182746179623091	0.632242372053179
"ENSG00000134308.14"	-0.377774773942909	-0.284962194515512	-0.0944746736218622	-0.26116419882678	-0.213065497606365	-0.0980522751750987
"ENSG00000168010.11"	0.753165764831014	0.302618505115323	0.106525637353128	0.376445329242953	0.126562831229716	0.333617451589085
"ENSG00000152332.16"	-0.429992207655494	-0.377811311566077	-0.273906418616821	-0.434013101361354	-0.386136424049069	-0.0753252138057068
"ENSG00000064687.12"	0.703649959064236	0.461633778107686	0.126507889538795	0.445594300702859	0.206683220184249	0.275677273865508
"ENSG00000163655.16"	-0.339141850950971	-0.0903617510536838	-0.0398186302511787	-0.154093515877266	-0.0933831151504627	-0.079685297538469
"ENSG00000120802.13"	-0.372406310018974	-0.147061976179558	-0.126805498723685	-0.202544090638131	-0.145761105505129	-0.00052596754622769
"ENSG00000166888.12"	0.475851827883057	0.0161878847865271	0.0777322913194816	0.157136583650203	0.00338481631080789	0.107278361224038
"ENSG00000136279.20"	0.420721124985331	0.161527473912949	0.0838825821304017	0.21483247479744	0.128262182851604	0.23376777511405
"ENSG00000214176.9"	0.483510774739524	0.214990140654713	0.00475447390050654	0.218550268904246	0.117000743337229	0.316151245139324
